# 환승역별 주의사항
#
# 출처와 라이선스. 파서가 이 키들을 읽어 화면에 그대로 띄운다. CC BY 조건이라 뺄 수 없다.
# source-document: 수도권 전철 환승 정보/수도권 전철 4호선
# source-revision: r104
# source-url: https://namu.wiki/w/수도권 전철 환승 정보/수도권 전철 4호선
# license: CC BY-NC-SA 2.0 KR
# license-url: https://creativecommons.org/licenses/by-nc-sa/2.0/kr/
#
# 컬럼: 역,비고
# 파서가 첫 쉼표 하나로만 가르므로 비고 안에는 쉼표를 써도 된다.
역,비고
동대문역사문화공원,출퇴근 시간에 붐비면 진접/불암산 방면 9-2, 사당/오이도 방면 2-3 에서 내려 돌아가는 길로 2호선과 5호선에 갈 수 있다.
서울역,경의중앙선으로는 환승 통로가 없어 간접환승이다. 출퇴근 시간에 붐비면 진접/불암산 방면 3-4, 사당/오이도 방면 8-1 에서 내려 돌아가는 길로 갈아탈 수 있다.
사당,2호선 내선으로는 진접/불암산 방면 6-2, 오이도 방면 5-3 에서 내려 지름길로 갈 수 있다. 출퇴근 시간에는 셔터가 내려가 있어 한 층 더 올라갔다 내려와야 하지만 그래도 더 가깝다.
